Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
29-12-2014,15.12666702,15.19400024,14.93466663,15.04733276,42037500,0,0
30-12-2014,14.93266678,15.04333305,14.76000023,14.81533337,43548000,0,0
31-12-2014,14.87266731,15.04533291,14.8166666,14.82733345,34462500,0,0
02-01-2015,14.8579998,14.88333321,14.21733284,14.62066746,71466000,0,0
05-01-2015,14.30333328,14.4333334,13.81066704,14.00599957,80527500,0,0
06-01-2015,14.00399971,14.27999973,13.61400032,14.08533287,93928500,0,0
07-01-2015,14.22333336,14.31866741,13.98533344,14.06333256,44526000,0,0
08-01-2015,14.18733311,14.25333309,14.00066662,14.0413332,51637500,0,0
09-01-2015,13.92800045,13.99866676,13.66399956,13.77733326,70024500,0,0
12-01-2015,13.53666687,13.63133335,13.28333282,13.48066711,89254500,0,0
13-01-2015,13.55466747,13.84066677,13.39400005,13.61666679,67159500,0,0
14-01-2015,12.38866711,13.01333332,12.33333302,12.84599972,173278500,0,0
15-01-2015,12.9659996,13.05000019,12.66666698,12.7913332,78247500,0,0
16-01-2015,12.71333313,12.9659996,12.64333344,12.87133312,54048000,0,0
20-01-2015,12.92466736,12.94133282,12.4693327,12.79533291,67548000,0,0
21-01-2015,12.63666725,13.24533272,12.63399982,13.10466671,62295000,0,0
22-01-2015,13.13333321,13.54933262,13.01333332,13.44133282,61753500,0,0
23-01-2015,13.35266685,13.5666666,13.22200012,13.41933346,51579000,0,0
26-01-2015,13.45533276,13.90799999,13.40333271,13.77000046,48517500,0,0
27-01-2015,13.62800026,13.86866665,13.55333328,13.73200035,41715000,0,0
28-01-2015,13.74066734,13.75800037,13.22799969,13.2913332,47244000,0,0
29-01-2015,13.4046669,13.73200035,13.10000038,13.68000031,53221500,0,0
30-01-2015,13.59733295,13.83133316,13.53333282,13.57333279,45105000,0,0
02-02-2015,13.59799957,14.13000011,13.55333328,14.06266689,62238000,0,0
03-02-2015,14.21466732,14.69133282,14.08466721,14.55733299,72393000,0,0
04-02-2015,14.55266666,14.76533318,14.4533329,14.56999969,49581000,0,0
05-02-2015,14.65866661,15.03199959,14.64266682,14.73266697,52843500,0,0
06-02-2015,14.80000019,14.89333344,14.4333334,14.49066734,48658500,0,0
09-02-2015,14.35866737,14.52866745,14.13266659,14.49866676,52086000,0,0
10-02-2015,14.50333309,14.69999981,14.33333302,14.41933346,80857500,0,0
11-02-2015,14.14733315,14.31599998,13.81866741,14.18666744,146536500,0,0
12-02-2015,12.9046669,13.53933334,12.88533306,13.5253334,234744000,0,0
13-02-2015,13.52666664,13.73266697,13.39400005,13.58466721,92865000,0,0
17-02-2015,13.71333313,13.71333313,13.4333334,13.62333298,59694000,0,0
18-02-2015,13.61133289,13.74466705,13.50666714,13.63066673,40704000,0,0
19-02-2015,13.66666698,14.16266727,13.58333302,14.11400032,77311500,0,0
20-02-2015,14.05200005,14.50666714,13.9873333,14.47399998,89731500,0,0
23-02-2015,14.37733269,14.5466671,13.75533295,13.82266712,127497000,0,0
24-02-2015,13.81933308,13.81933308,13.44666672,13.60733318,99054000,0,0
25-02-2015,13.66266727,13.80933285,13.50533295,13.58399963,58642500,0,0
26-02-2015,13.60000038,14.07266712,13.48133278,13.81266689,97093500,0,0
27-02-2015,13.79333305,13.90333271,13.52000046,13.55599976,58231500,0,0
02-03-2015,13.51333332,13.55599976,13.05533314,13.15533257,118831500,0,0
03-03-2015,13.12066746,13.34933281,13.02133274,13.3039999,66484500,0,0
04-03-2015,13.28333282,13.50133324,13.14733315,13.49600029,63330000,0,0
05-03-2015,13.5233326,13.74600029,13.34333324,13.37533283,73155000,0,0
06-03-2015,13.2806673,13.38333321,12.81000042,12.92533302,100686000,0,0
09-03-2015,12.95933342,12.9659996,12.55000019,12.72533321,101050500,0,0
10-03-2015,12.56400013,12.89999962,12.50666714,12.68799973,83695500,0,0
11-03-2015,12.74333286,13.07866669,12.73400021,12.91600037,74623500,0,0
12-03-2015,12.91666698,12.96333313,12.64999962,12.73799992,62239500,0,0
13-03-2015,12.59666729,12.78333282,12.48799992,12.57866669,81514500,0,0
16-03-2015,12.80000019,13.06066704,12.65333271,13.0466671,84432000,0,0
17-03-2015,13.02866745,13.24733257,12.92933273,12.98200035,73411500,0,0
18-03-2015,12.99733257,13.3920002,12.8739996,13.38066673,72313500,0,0
19-03-2015,13.46666718,13.63933277,12.96866703,13.04333305,127128000,0,0
20-03-2015,13.16333294,13.26599979,13.0413332,13.20533276,64042500,0,0
23-03-2015,13.23333263,13.36666679,13.16466713,13.30866718,39474000,0,0
24-03-2015,13.4386673,13.58600044,13.3166666,13.44799995,54748500,0,0
25-03-2015,13.21800041,13.23933315,12.84666729,12.9533329,85956000,0,0
26-03-2015,12.92800045,12.98600006,12.64666653,12.69400024,61920000,0,0
27-03-2015,12.60466671,12.61933327,12.09333324,12.33333302,129073500,0,0
30-03-2015,12.39000034,12.8166666,12.11999989,12.70466709,151342500,0,0
31-03-2015,12.90200043,12.91733265,12.56066704,12.58466721,75399000,0,0
01-04-2015,12.57999992,12.81999969,12.40333271,12.50599957,56919000,0,0
02-04-2015,12.68200016,12.88199997,12.66666698,12.73333263,75156000,0,0
06-04-2015,13.19999981,13.85000038,13.16666698,13.53999996,186837000,0,0
07-04-2015,13.50066662,13.67066669,13.40933323,13.55000019,65218500,0,0
08-04-2015,13.88000011,14.06000042,13.7246666,13.84466743,94546500,0,0
09-04-2015,13.89533329,14.02466679,13.74133301,14.00599957,57003000,0,0
10-04-2015,13.98999977,14.10999966,13.9333334,14.06000042,61015500,0,0
13-04-2015,14.02933311,14.19999981,13.93666744,13.98533344,56373000,0,0
14-04-2015,13.9046669,13.9659996,13.69999981,13.83066654,45390000,0,0
15-04-2015,13.83066654,13.97266674,13.7733326,13.85533333,29286000,0,0
16-04-2015,13.84666729,13.94466686,13.75266743,13.77999973,24886500,0,0
17-04-2015,13.66600037,13.79199982,13.5666666,13.78600025,37048500,0,0
20-04-2015,13.78533268,13.85666656,13.59000015,13.68466663,38389500,0,0
21-04-2015,13.72000027,14.05000019,13.62066746,13.96066666,51487500,0,0
22-04-2015,14.16666698,14.79199982,14.11266708,14.62933254,117945000,0,0
23-04-2015,14.55133343,14.76533318,14.4766674,14.57333279,66168000,0,0
24-04-2015,14.69999981,14.72000027,14.5340004,14.56200027,36417000,0,0
